HelpfulnessNumerator,HelpfulnessDenominator,Time,Summary,Text,Score
1,1,1303862400,'Good Quality Dog Food','I have bought several of the Vitality canned dog food products and have found them all to be ofgoodquality The product looks more like a stew than a processed meat and it smells better My Labrador is finicky and she appreciates this product better than  most',5
3,3,1307923200,'Cough Medicine','If you are looking for the secret ingredient in Robitussin I believe I have found it  I got this in addition to the Root Beer Extract I ordered which wasgoodand made some cherry soda  The flavor is very medicinal',2
0,0,1350777600,'Great taffy','Great taffy at a great price  There was a wide assortment of yummy taffy  Delivery was very quick  If your a taffy lover this is a deal',5
0,0,1342051200,'Nice Taffy','I got a wild hair for taffy and ordered this five pound bag The taffy was all very enjoyable with many flavors  watermelon root beer melon peppermint grape etc My only complaint is there was a bit too much red/black licoriceflavored pieces just not my particular favorites Between me my kids and my husband this lasted only two weeks I would recommend this brand of taffy  it was a delightful treat',4
0,0,1340150400,'Great  Just asgoodas the expensive brands','This saltwater taffy had great flavors and was very soft and chewy  Each candy was individually wrapped well  None of the candies were stuck together which did happen in the expensive version Fralingers  Would highly recommend this candy  I served it at a beachthemed party and everyone loved it',5
0,0,1336003200,'Wonderful tasty taffy','This taffy is sogood It is very soft and chewy  The flavors are amazing  I would definitely recommend you buying it  Very satisfying',5
1,1,1322006400,'Yay Barley','rightnow Im mostly just sprouting this so my cats can eat the grass They love it I rotate it around with Wheatgrass and Rye too',5
0,0,1351209600,'Healthy Dog Food','This is a very healthy dog foodgoodfor their digestion Alsogoodfor small puppies My dog eats her required amount at every feeding',5
1,1,1107820800,'The Best Hot Sauce in the World','I dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away  When we realized that we simply couldnt find it anywhere in our city we were bummed  Now because of the magic of the internet we have a case of the sauce and are ecstatic because of it  If you love hot sauceI mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of Tequila Picante Gourmet de Inclan  Just realize that once you taste it you will never want to use any other sauce  Thank you for the personal incredible service',5
4,4,1282867200,'My cats LOVE this diet food better than their regular food','One of my boys needed to lose some weight and the other didnt  I put this food on the floor for the chubby guy and the proteinrich no byproduct food up higher where only my skinny boy can jump  The higher food sits going stale  They both really go for this food  And my chubby boy has been losing about an ounce a week',5
1,1,1339545600,'My Cats Are Not Fans of the New Food','My cats have been happily eating Felidae Platinum for more than two years I just got a new bag and the shape of the food is different They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food Ive noticed similar reviews related to formula changes in the past Unfortunately I now need to find a new food that my cats will eat',1
2,2,1288915200,'fresh and greasy','good flavor these came securely packed they were fresh and delicious i love these Twizzlers',4
4,5,1268352000,'Strawberry Twizzlers  Yummy','The Strawberry Twizzlers are my guilty pleasure  yummy Six pounds will be around for a while with my son and I',5
4,5,1262044800,'Lots of twizzlers just what you expect','My daughter loves twizzlers and this shipment of six pounds really hit the spot Its exactly what you would expectsix packages of strawberry twizzlers',5
0,0,1348099200,'poor taste','I love eating them and they aregoodfor watching TV and looking at movies It is not too sweet I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them',2
0,0,1345075200,'Love it','I am very satisfied with my Twizzler purchase  I shared these with others and we have all enjoyed them  I will definitely be ordering more',5
0,0,1324598400,'GREAT SWEET CANDY','Twizzlers Strawberry my childhood favorite candy made in Lancaster Pennsylvania by Yand S Candies Inc one of the oldest confectionery Firms in the United States now a Subsidiary of the Hershey Company the Company was established in 1845 as Young and Smylie they also make Apple Licorice Twists Green Color and Blue Raspberry Licorice Twists I like them all  I keep it in a dry cool place because is not recommended it to put it in the fridge According to the Guinness Book of Records the longest Licorice Twist ever made measured 1200 Feet 370 M and weighted 100 Pounds 45 Kg and was made by Yand S Candies Inc This RecordBreaking Twist became a Guinness World Record on July 19 1998 This Product is Kosher Thank You',5
0,0,1318032000,'Home delivered twizlers','Candy was delivered very fast and was purchased at a reasonable price  I was home bound and unable to get to a store so this was perfect for me',5
0,0,1313452800,'Always fresh','My husband is a Twizzlers addict  Weve bought these many times from Amazon because were government employees living overseas and cant get them in the country we are assigned to  Theyve always been fresh and tasty packed well and arrive in a timely manner',5
0,0,1304899200,'Delicious product','I can remember buying this candy as a kid and the quality hasnt dropped in all these years Still a superb product you wont be disappointed with',5
0,0,1304467200,Twizzlers,'I love this candy  After weight watchers I had to cut back but still have a craving for it',5
0,0,1295481600,'Please sell these in Mexico','I have lived out of the US for over 7 yrs now and I so miss my Twizzlers  When I go back to visit or someone visits me I always stock up  All I can say is YUM<br Sell these in Mexico and you will have a faithful buyer more often than Im able to buy them rightnow',5
0,1,1332633600,'Nasty No flavor','The candy is just red  No flavor  Just  plan and chewy   I would never buy them again',1
0,1,1331856000,'Great Bargain for the Price','I was so glad Amazon carried these batteries  I have a hard time finding them elsewhere because they are such a unique size  I need them for my garage door opener<br Great deal for the price',4
0,0,1338854400,YUMMY,'I got this for my Mum who is not diabetic but needs to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake  shes the one with the sweet tooth  they both LOVED these toffees you would never guess that theyre sugarfree and its so great that you can eat them pretty much guilt free  i was so impressed that ive ordered some for myself w dark chocolate to take to the office so ill eat them instead of snacking on sugary sweets<br These are just EXCELLENT',5
1,1,1107820800,'The Best Hot Sauce in the World','I dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away  When we realized that we simply couldnt find it anywhere in our city we were bummed  Now because of the magic of the internet we have a case of the sauce and are ecstatic because of it  If you love hot sauceI mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of Tequila Picante Gourmet de Inclan  Just realize that once you taste it you will never want to use any other sauce  Thank you for the personal incredible service',5
0,0,1297641600,'Great machine','I have never been a huge coffee fan However my mother purchased this little machine and talked me into trying the Latte Macciato No Coffee Shop has a better one and I like most of the other products too as a usually noncoffee drinker<br The little Dolche Guesto Machine is super easy to use and prepares a reallygoodCoffee/Latte/Cappuccino/etc in less than a minute if water is heated up I would recommend the Dolce Gusto to anyone Toogoodfor the price and Iam getting one myself ',5
0,1,1288310400,'THIS IS MY TASTE','This offer is a great price and a great taste thanks Amazon for selling this product  Staral',5
19,19,1163376000,'Best of the Instant Oatmeals','McCanns Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it There is no escaping the fact however that even the best instant oatmeal is nowhere near asgoodas even a store brand of oatmeal requiring stovetop preparation  Still the McCanns is asgoodas it gets for instant oatmeal Its even better than the organic allnatural brands I have tried  All the varieties in the McCanns variety pack tastegood It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue  McCanns use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product  Real sugar tastes better and is not as harmful as the other stuff One thing I do not like though is McCanns use of thickeners  Oats plus water plus heat should make a creamy tasty oatmeal without the need for guar gum But this is a convenience product  Maybe the guar gum is why after sitting in the bowl a while the instant McCanns becomes too thick and gluey',4
13,13,1166313600,'Good Instant','This is agoodinstant oatmeal from the best oatmeal brand  It uses cane sugar instead of high fructouse corn syrup so not only does it have a better sweetness but some doctors now say that this form of sugar is better for you  Great on a cold morning when you dont have time to make McCanns Steel Cut Oats  The apple cinnamon is the best but the maple and brown sugar or the regular aregoodtoo  Plus they dont require doctoring to actually tell the three flavors apart',4
9,9,1175212800,'Great Irish oatmeal for those in a hurry','Instant oatmeal can become soggy the minute the water hits the bowl McCanns Instant Oatmeal holds its texture has excellent flavor and isgoodfor you all at the same time McCanns regular oat meal is excellent too but may take a bit longer to prepare than most have time for in the morning This is the best instant brand Ive ever eaten and a very close second to the noninstant variety  McCanns Instant Irish Oatmeal Variety Pack of Regular Applesand Cinnamon and Mapleand Brown Sugar 10Count Boxes Pack of 6',5
3,3,1210464000,satisfying,'McCanns Instant Irish Oatmeal Variety Pack of Regular Applesand Cinnamon and Mapleand Brown Sugar 10Count Boxes Pack of 6  Im a fan of the McCanns steelcut oats so I thought Id give the instant variety a try I found it to be a hardy meal not too sweet and great for folks like me postbariatric surgery who need food that is palatable easily digestible with fiber but wont make you bloat',4
2,2,1190851200,'Love Gluten Free Oatmeal','For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store  I love McCanns instant oatmeal  all flavors  Thanks<br Abby',5
1,1,1238457600,'its oatmeal','What else do you need to know? Oatmeal instant make it with a half cup of lowfat milk and add raisins nuke for 90 seconds More expensive than Kroger store brand oatmeal and maybe a little tastier or better texture or something Its still just oatmeal Mmm convenient',5
0,0,1350777600,'GOOD WAY TO START THE DAY','I WAS VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE  HE CAME OUT OF HIS STORAGE ROOM WITH  A PACKET OF McCANNS INSTANT IRISH OATMEAL  HE SUGGESTED THAT I TRY IT FOR MY OWN USE IN MY STASH  SOMETIMES NATE DOSE NOT GIVE YOU A CHANCE TO SAY NO  SO I ENDED UP TRYING THE APPLE AND CINN  FOUND IT TO BE VERY TASTEFULL WHEN MADE WITH WATER OR POWDERED MILK  IT GOESgoodWITH OJ AND COFFEE AND A SLICE OF TOAST AND YOUR READY TO TAKE ON THE WORLDOR THE DAY AT LEAST  JERRY REITH',4
0,0,1303430400,'Why wouldnt you buy oatmeal from Mcanns? Tastes great','The variety packs taste great  I have them every morning At 030 cents per meal I dont understand why everyone on earth isnt buying this stuff up  Maple and brown sugar is terrific followed by apples and cinnamon followed by regular You dont get tired of the same ole thing and they taste great  I just boil water from a small pot empty the packet or 2 in a bowl pour in boiling water and watch it expand to 2x its size  Taste reallygoodand takes minutes to prepare  Not sure why everyone on earth isnt this Convenient healthy very quick excellent quality and extremely cheap',5
0,0,1302134400,'Oatmeal For Oatmeal Lovers','McCanns makes oatmeal for every oatmeal connoisseur whether one likes it from the raw pellet state that cooks for half an hour to the sloth addled instant which can be done in the microwave for under three minutes Its allgoodthats for sure and the beauty of the instant variety is that it is available in different flavors as well as regular<br   This variety pack allows different tastes to be explored as well as giving you a chance to experience the difference between McCanns and other wellknown oatmeals What I personally like about McCanns is that it cooks up thicker and with more body than the top brand here in America The Applesand Cinnamon though tends to be a little liquidy so you may want to experiment with the amount of water you add In my 1300watt microwave the oatmeal cooks up in about one minute and twentyseven seconds so you should also watch that to get a handle on how much time and water to use<br   The only bad thing  if you can consider it a bad thing  about this offering is that you have to buy in lot so youll end up with six tencount boxes This isgoodif you have a whole family of oatmealeaters but if youre a single person alone  well love oatmeal',5
0,0,1287014400,FoodGreat,'I have McCanns Oatmeal every morning and by ordering it from Amazon I am able to save almost 300 per box<br It is a great product Tastes great and very healthy',5
0,0,1255392000,'Good Hot Breakfast','McCanns Oatmeal is agoodquality choice  Our favorite is the Apples and Cinnamon but we find that none of these are overly sugary  For agoodhot breakfast in 2 minutes this is excellent',5
0,0,1209686400,'Great taste and convenience','We really like the McCanns steel cut oats but find we dont cook it up too often<br This tastes much better to me than the grocery store brands and is just as convenient<br Anything that keeps me eating oatmeal regularly is agoodthing',5
0,0,1205193600,'Hearty Oatmeal','This seems a little more wholesome than some of the supermarket brands but it is somewhat mushy and doesnt have quite as much flavor either  It didnt pass muster with my kids so I probably wont buy it again',3
0,0,1192752000,good,'Good oatmeal  I like the apple cinnamon the best  Though I wouldnt follow the directions on the package since it always comes out too soupy for my taste  That could just be me since I like my oatmeal really thick to add some milk on top of',5
1,2,1200096000,Mushy,'The flavors aregood However I do not see any differce between this and Oaker Oats brand  they are both mushy',3
1,2,1191715200,'Verygoodbut next time I wont order the Variety Pack','I really like the Maple and Brown Sugar flavor The regular is fine with brown sugar added The Apples and Cinnamon flavor is OK This is a very quick easy and satisfying breakfast and Ill order this brand again but not the variety Ill get all Maple and Brown Sugar',4
0,1,1334016000,'Same stuff','This is the same stuff you can buy at the big box stores  There is nothing healthy about it  It is just carbs and sugars  Save your money and get something that at least has some taste',3
0,7,1203379200,'Dont like it','This oatmeal is notgoodIts mushy soft I dont like it Quaker Oats is the way to go',1
4,4,1243900800,'HOT  Andgood Came back for more  ','Got a free package of these with a bottle of bloody mary mix I bought from the seller and the advertising workedlol  I tried them and shared them with 2 buddies and we all loved them  So im here to buy more and noticed there were no reviews yet  well now there is  They are Hot  but not burn your mouth forever hot  its a nice temp  Perfect for us',5
